country,country_code,year,gdp_per_capita_constant_2015_usd,life_expectancy,log_gdp_per_capita,population,region,income_group,log_gdp_pc
North Macedonia,MKD,2024,6628.84686594032,76.6165853658537,8.79918614134707,1824359.0,Europe & Central Asia,Upper middle income,8.79918614134707
Norway,NOR,2024,79667.5272314776,83.1609756097561,11.285617344256,5572279.0,Europe & Central Asia,High income,11.285617344256
Oman,OMN,2024,17347.2911339051,80.246,9.7611916425747,5281538.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,9.7611916425747
Pakistan,PAK,2024,1634.56735260799,67.799,7.39913343217242,251269164.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7.39913343217242
Panama,PAN,2024,17122.720655567,79.775,9.74816155386693,4515577.0,Latin America & Caribbean ,High income,9.74816155386693
Papua New Guinea,PNG,2024,2564.73748186493,66.256,7.84961140611565,10576502.0,East Asia & Pacific,Lower middle income,7.84961140611565
Paraguay,PRY,2024,6640.83816613117,73.982,8.8009934643432,6929153.0,Latin America & Caribbean ,Upper middle income,8.8009934643432
Peru,PER,2024,6711.19403272527,77.941,8.81153216238001,34217848.0,Latin America & Caribbean ,Upper middle income,8.81153216238001
Philippines,PHL,2024,3925.3048697218,69.946,8.27519930101453,115843670.0,East Asia & Pacific,Upper middle income,8.27519930101453
Poland,POL,2024,18000.5034591285,78.409756097561,9.79815500643873,36559233.0,Europe & Central Asia,High income,9.79815500643873
Portugal,PRT,2024,22647.3791895579,82.3829268292683,10.0277994151461,10694681.0,Europe & Central Asia,High income,10.0277994151461
Puerto Rico (US),PRI,2024,30971.2620550191,81.902,10.3408150230255,3203295.0,Latin America & Caribbean ,High income,10.3408150230255
Qatar,QAT,2024,62157.3751791848,82.522,11.0374247573029,2857822.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,11.0374247573029
Romania,ROU,2024,12459.9112061891,76.4585365853659,9.43027166600699,19051804.0,Europe & Central Asia,High income,9.43027166600699
Russian Federation,RUS,2024,11043.259765625,73.4404878048781,9.30957554487334,143533851.0,Europe & Central Asia,High income,9.30957554487334
Rwanda,RWA,2024,1070.45003770926,68.017,6.97583443502021,14256567.0,Sub-Saharan Africa ,Low income,6.97583443502021
Samoa,WSM,2024,4880.54418032056,71.826,8.49301200499092,218019.0,East Asia & Pacific,Upper middle income,8.49301200499092
Sao Tome and Principe,STP,2024,1368.14347554019,69.905,7.22120997246384,235536.0,Sub-Saharan Africa ,Lower middle income,7.22120997246384
Saudi Arabia,SAU,2024,24963.3322139095,78.982,10.1251633157326,35300280.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,10.1251633157326
Senegal,SEN,2024,1511.89280670234,68.924,7.32111765918817,18501984.0,Sub-Saharan Africa ,Lower middle income,7.32111765918817
Serbia,SRB,2024,8580.26105823259,75.9682926829268,9.05721961838657,6586476.0,Europe & Central Asia,Upper middle income,9.05721961838657
Seychelles,SYC,2024,16586.4074964781,76.2951219512195,9.71633881341054,121354.0,Sub-Saharan Africa ,High income,9.71633881341054
