"state","state_fips","year","income_pc_thousand","gdp_pc_thousand","unemployment_rate","population"
"District of Columbia",11,2017,80.599,196.730408083744,6.10833333333333,682654
"District of Columbia",11,2018,83.549,201.150749998179,5.71666666666667,686335
"District of Columbia",11,2019,84.046,201.708668220397,5.51666666666667,688665
"District of Columbia",11,2020,91.366,205.531331736748,7.96666666666667,670598
"District of Columbia",11,2021,97.145,213.469044920645,6.85,671473
"District of Columbia",11,2022,103.156,211.125148325472,4.7,677564
"District of Columbia",11,2023,108.606,208.750116637119,4.85833333333333,685888
"District of Columbia",11,2024,114.862,209.577214140337,5.30833333333333,692289
"Florida",12,2015,45.277,46.6061224446559,5.5,20296239
"Florida",12,2016,46.389,47.3656418791769,4.90833333333333,20668773
"Florida",12,2017,49.399,48.3807762304916,4.28333333333333,20976656
"Florida",12,2018,52.049,49.4929841570536,3.64166666666667,21223893
"Florida",12,2019,54.246,50.5642155912335,3.24166666666667,21456160
"Florida",12,2020,56.455,49.4436194991647,8.06666666666667,21691001
"Florida",12,2021,62.594,53.1633272126911,4.725,22057598
"Florida",12,2022,67.383,55.0962407277831,3.00833333333333,22613659
"Florida",12,2023,71.201,56.7755476744,2.925,23062608
"Florida",12,2024,74.399,57.9173756568398,3.35833333333333,23348349
"Georgia",13,2015,41.893,52.7341406349848,6.05,10242103
"Georgia",13,2016,43.278,54.2033120551013,5.45,10363173
"Georgia",13,2017,45.659,55.7292962403996,4.75833333333333,10471033
"Georgia",13,2018,47.261,56.8141085233354,4.01666666666667,10577209
"Georgia",13,2019,48.881,58.1141664637452,3.6,10681473
"Georgia",13,2020,51.158,56.0696439350688,6.55,10758094
"Georgia",13,2021,55.725,59.3561635916179,3.91666666666667,10845519
"Georgia",13,2022,58.507,61.0174405475612,3.11666666666667,10982224
"Georgia",13,2023,61.047,61.1109951855724,3.225,11118248
"Georgia",13,2024,63.82,62.0302898107965,3.4,11243715
"Hawaii",15,2015,47.664,57.8073923335801,3.41666666666667,1450638
"Hawaii",15,2016,49.11,58.7644501087552,2.90833333333333,1457861
"Hawaii",15,2017,50.859,59.9141679132168,2.23333333333333,1459361
"Hawaii",15,2018,52.079,60.8739924445763,2.4,1459349
"Hawaii",15,2019,54.616,60.9991885557528,2.50833333333333,1456662
