"z","logistic","probit","linear"
-6,0.00247262315663477,9.86587645037698e-10,0
-5.96992481203007,0.0025479249696073,1.18681474163152e-09,0
-5.93984962406015,0.0026255140047558,1.42641819766719e-09,0
-5.90977443609023,0.00270545936115374,1.71288249920957e-09,0
-5.8796992481203,0.00278783220235414,2.05506290958799e-09,0
-5.84962406015038,0.00287270581664275,2.46342646796918e-09,0
-5.81954887218045,0.00296015567896099,2.95033346888346e-09,0
-5.78947368421053,0.00305025951453937,3.53036587947402e-09,0
-5.7593984962406,0.00314309736428261,4.22071012112549e-09,0
-5.72932330827068,0.00323875165194854,5.04160274761532e-09,0
-5.69924812030075,0.003337307253163,6.01684881034914e-09,0
-5.66917293233083,0.00343885156631412,7.17442413188269e-09,0
-5.6390977443609,0.00354347458536934,8.54717433323789e-09,0
-5.60902255639098,0.0036512689746594,1.01736253022719e-08,0
-5.57894736842105,0.00376233014567382,1.20989218758958e-08,0
-5.54887218045113,0.00387675633591307,1.4375913867367e-08,0
-5.5187969924812,0.00399464868984255,1.70664112333143e-08,0
-5.48872180451128,0.00411611134199454,2.0242633178951e-08,0
-5.45864661654135,0.00424125150226394,2.39888793829451e-08,0
-5.42857142857143,0.00437017954344435,2.84034553282578e-08,0
-5.3984962406015,0.00450300909105092,3.36008879985646e-08,0
-5.36842105263158,0.0046398571154767,3.97144729925634e-08,0
-5.33834586466165,0.00478084402652936,4.68991994760616e-08,0
-5.30827067669173,0.00492609377039486,5.533510539454e-08,0
-5.2781954887218,0.00507573392907482,6.52311220723908e-08,0
-5.24812030075188,0.00522989582234409,7.68294748000534e-08,0
-5.21804511278195,0.00538871461227465,9.04107143332833e-08,0
-5.18796992481203,0.00555232941037174,1.06299463482136e-07,0
-5.1578947368421,0.00572088338736747,1.24870973239354e-07,0
-5.12781954887218,0.00589452388571662,1.46558594283378e-07,0
-5.09774436090226,0.00607340253483874,1.71862282291335e-07,0
-5.06766917293233,0.0062576753691494,2.01358269419638e-07,0
-5.03759398496241,0.00644750294892285,2.35710049668609e-07,0
-5.00751879699248,0.00664305048402674,2.75680842763499e-07,0
-4.97744360902256,0.00684448796056864,3.22147719784863e-07,0
-4.94736842105263,0.00705199027049197,3.76117594199969e-07,0
-4.91729323308271,0.00726573734415784,4.3874530432371e-07,0
-4.88721804511278,0.00748591428594669,5.11354037717569e-07,0
-4.85714285714286,0.00771271151291203,5.95458374769639e-07,0
-4.82706766917293,0.00794632489651575,6.92790257842451e-07,0
-4.79699248120301,0.00818695590747186,8.0532822408798e-07,0
-4.76691729323308,0.00843481176372275,9.35330274472725e-07,0
-4.73684210526316,0.00869010558156858,1.085370788894e-06,0
-4.70676691729323,0.00895305652996695,1.25838193766632e-06,0
-4.67669172932331,0.00922388998801624,1.45770008327725e-06,0
-4.64661654135338,0.00950283770563144,1.68711771331611e-06,0
-4.61654135338346,0.00979013796741723,1.95094149602266e-06,0
-4.58646616541353,0.0100860357597375,2.25405710413498e-06,0
-4.55639097744361,0.0103907829409753,2.60200151077626e-06,0
-4.52631578947368,0.0107046384149724,3.00104352313573e-06,0
-4.49624060150376,0.0110278683076283,3.45827338578199e-06,0
-4.46616541353383,0.0113607461466367,3.9817023556901e-06,0
-4.43609022556391,0.0117035530443247,4.58037322553812e-06,0
-4.40601503759398,0.0120565778835564,5.26448285057768e-06,0
-4.37593984962406,0.0124201175066518,6.04551781742136e-06,0
-4.34586466165414,0.0127944769072643,6.93640448039387e-06,0
-4.31578947368421,0.0131799694251488,7.95167468260195e-06,0
-4.28571428571429,0.0135769169437444,9.107648574484e-06,0
-4.25563909774436,0.0139856500904819,1.04226360421423e-05,0
-4.22556390977444,0.0144065084397182,1.19171583610262e-05,0
-4.19548872180451,0.0148398407181832,1.36141917972457e-05,0
-4.16541353383459,0.0152860050128146,1.55394349886012e-05,0
-4.13533834586466,0.0157453689808409,1.77216020499037e-05,0
-4.10526315789474,0.0162183100619568,2.01927434618199e-05,0
-4.07518796992481,0.0167052156924221,2.29885969187259e-05,0
-4.04511278195489,0.017206483520895,2.61489704282065e-05,0
-4.01503759398496,0.017722521625796,2.9718160072114e-05,0
-3.98496240601504,0.0182537487339766,3.37454049556153e-05,0
-3.95488721804511,0.0188005944404515,3.82853819854122e-05,0
-3.92481203007519,0.0193634994289267,4.3398743230204e-05,0
-3.89473684210526,0.0199429156928382,4.91526987242499e-05,0
-3.86466165413534,0.0205393067565906,5.56216476772162e-05,0
-3.83458646616541,0.0211531478966606,6.28878611488909e-05,0
-3.80451127819549,0.0217849263622055,7.10422193342031e-05,0
-3.77443609022556,0.0224351415947885,8.01850066805656e-05,0
-3.74436090225564,0.0231043054468049,9.04267681239924e-05,0
-3.71428571428571,0.0237929423981646,0.000101889229780755,0
-3.68421052631579,0.0245015897707534,0.000114706287465412,0
-3.65413533834586,0.0252307979401637,0.000129025066421638,0
-3.62406015037594,0.0259811305441531,0.000145007055647089,0
-3.59398496240602,0.0267531646872508,0.000162829320165065,0
-3.56390977443609,0.0275474911408976,0.000182685794541534,0
-3.53383458646617,0.0283647145384661,0.000204788660863464,0
-3.50375939849624,0.0292054535644678,0.000229369814280766,0
-3.47368421052632,0.0300703411372119,0.000256682419066807,0
-3.44360902255639,0.0309600245841398,0.000287002557968536,0
-3.41353383458647,0.0318751658090135,0.000320630977394296,0
-3.38345864661654,0.0328164414500906,0.000357894930722448,0
-3.35338345864662,0.0337845430283719,0.000399150121704482,0
-3.32330827067669,0.0347801770849605,0.00044478274957986,0
-3.29323308270677,0.0358040653065187,0.00049521165711386,0
-3.26315789473684,0.0368569446377606,0.000550890582312009,0
-3.23308270676692,0.0379395673798662,0.000612310514053262,0
-3.20300751879699,0.0390527012736472,0.00068000215131703,0
-3.17293233082707,0.0401971295662439,0.000754538465054996,0
-3.14285714285714,0.0413736510600754,0.000836537361076157,0
-3.11278195488722,0.0425830801427105,0.000926664441571885,0
-3.08270676691729,0.0438262467962708,0.00102563586210659,0
-3.05263157894737,0.045103996584921,0.0011342212800389,0
-3.02255639097744,0.0464171906189442,0.00125324688941847,0
-2.99248120300752,0.0477667054938447,0.0013835985364264,0.00125313283208017
-2.96240601503759,0.049153433202864,0.00152622490839334,0.00626566416040103
-2.93233082706767,0.0505782810212408,0.00168214078834252,0.0112781954887218
-2.90225563909774,0.0520421713604906,0.00185243036586696,0.0162907268170425
-2.87218045112782,0.0535460415909283,0.00203825059396555,0.0213032581453634
-2.8421052631579,0.0550908438306062,0.00224083458023581,0.0263157894736842
-2.81203007518797,0.0566775446987877,0.00246149499955742,0.031328320802005
-2.78195488721805,0.0583071250320353,0.00270162751410577,0.0363408521303257
-2.75187969924812,0.0599805795609416,0.00296271418521686,0.0413533834586466
-2.7218045112782,0.0616989165454973,0.00324632686028979,0.0463659147869674
-2.69172932330827,0.0634631573670502,0.0035541305165721,0.0513784461152882
-2.66165413533835,0.0652743360747793,0.00388788654233279,0.0563909774436089
-2.63157894736842,0.0671334988845821,0.00424945593460116,0.0614035087719298
-2.6015037593985,0.0690417036282502,0.00464080239134522,0.0664160401002507
-2.57142857142857,0.0710000191507991,0.00506399527469533,0.0714285714285714
-2.54135338345865,0.0730095246538057,0.00552121242059758,0.0764411027568921
-2.51127819548872,0.0750713089826141,0.00601474276912155,0.081453634085213
-2.4812030075188,0.077186469855276,0.00654698878856214,0.0864661654135339
-2.45112781954887,0.0793561130311155,0.00712046866547863,0.0914786967418546
-2.42105263157895,0.0815813514168365,0.00773781823192164,0.0964912280701753
-2.39097744360902,0.0838633041081328,0.00840179260032401,0.101503759398496
-2.3609022556391,0.0862030953648169,0.0091152674758914,0.106516290726817
-2.33082706766917,0.0886018535175491,0.00988124011583595,0.111528822055138
-2.30075187969925,0.09106070980433,0.0107028299044686,0.116541353383459
-2.27067669172932,0.0935807971350179,0.0115832785130153,0.121553884711779
-2.2406015037594,0.0961632487822411,0.0125259496130666,0.1265664160401
-2.21052631578947,0.09880919699721,0.0135343281128199,0.131578947368421
-2.18045112781955,0.101519771549075,0.0146120188857435,0.136591478696742
-2.15037593984962,0.104296098186647,0.0157627449619949,0.141604010025063
-2.1203007518797,0.107139297021476,0.016990345153872,0.146616541353383
-2.09022556390977,0.1100504808315,0.0182987710877732,0.151629072681704
-2.06015037593985,0.113030753284686,0.0196920836166065,0.156641604010025
-2.03007518796993,0.116081207082354,0.0211744485883131,0.161654135338346
-2,0.119202922022118,0.0227501319481792,0.166666666666667
-1.96992481203008,0.122396962980703,0.0244234941548843,0.171679197994987
-1.93984962406015,0.125664377817187,0.0261989838927953,0.176691729323308
-1.90977443609023,0.129006195197561,0.0280811310658467,0.181704260651629
-1.8796992481203,0.132423422341873,0.030074539061456,0.18671679197995
-1.84962406015038,0.135917042695608,0.0321838762762913,0.191729323308271
-1.81954887218045,0.139488013527327,0.0344138668993424,0.196741854636591
-1.78947368421053,0.143137263455093,0.0367692809516198,0.201754385964912
-1.7593984962406,0.14686568990457,0.0392549235859099,0.206766917293233
-1.72932330827068,0.150674156502247,0.041875623654344,0.211779448621554
-1.69924812030075,0.15456349040765,0.0446362215560451,0.216791979949875
-1.66917293233083,0.158534479588981,0.0475415563818111,0.221804511278195
-1.6390977443609,0.1625878700471,0.0505964523776254,0.226817042606516
-1.60902255639098,0.166724362993332,0.0538057047537374,0.231829573934837
-1.57894736842105,0.170944611987132,0.0571740648711003,0.236842105263158
-1.54887218045113,0.175249220040188,0.0607062248420483,0.241854636591479
-1.5187969924812,0.179638736694127,0.0644068015872139,0.2468671679198
-1.48872180451128,0.18411365507954,0.0682803203957883,0.25187969924812
-1.45864661654135,0.188674408964625,0.0723311980412747,0.256892230576441
-1.42857142857143,0.193321369802309,0.0765637255098347,0.261904761904762
-1.3984962406015,0.198054843785249,0.0809820504031482,0.266917293233083
-1.36842105263158,0.202875068918684,0.0855901590823409,0.271929824561404
-1.33834586466165,0.207782212121595,0.0903918586239561,0.276942355889724
-1.30827067669173,0.212776366367152,0.0953907586630998,0.281954887218045
-1.2781954887218,0.217857547873904,0.100590253202738,0.286967418546366
-1.24812030075188,0.223025693359565,0.105993502471634,0.291979949874687
-1.21804511278196,0.228280657369696,0.111603414916523,0.296992481203007
-1.18796992481203,0.233622209693887,0.117422629416819,0.302005012531328
-1.15789473684211,0.239050032882366,0.123453497812371,0.307017543859649
-1.12781954887218,0.2445637198762,0.129698067836526,0.31203007518797
-1.09774436090226,0.250162771764413,0.136158066547947,0.317042606516291
-1.06766917293233,0.25584659568149,0.14283488435529,0.322055137844611
-1.03759398496241,0.261614502858723,0.149729559728895,0.327067669172932
-1.00751879699248,0.267465706842866,0.156842764693117,0.332080200501253
-0.977443609022557,0.273399321895394,0.164174791191749,0.337092731829574
-0.947368421052632,0.279414361585467,0.171725538417205,0.342105263157895
-0.917293233082707,0.285509737589412,0.179494501191681,0.347117794486215
-0.887218045112782,0.29168425870909,0.187480759485459,0.352130325814536
-0.857142857142858,0.29793663012107,0.195682969153776,0.357142857142857
-0.827067669172933,0.30426545286792,0.204099353969338,0.362155388471178
-0.796992481203008,0.310669223602201,0.212727699022612,0.367167919799499
-0.766917293233083,0.317146334593032,0.221565345556431,0.372180451127819
-0.736842105263158,0.323695074004131,0.230609187295332,0.37719298245614
-0.706766917293233,0.330313626451298,0.239855668323353,0.382205513784461
-0.676691729323308,0.337000073846227,0.249300782556811,0.387218045112782
-0.646616541353383,0.343752396532353,0.258940074850958,0.392230576441103
