z,logistic,probit,linear
-6.0,0.0024726231566347743,9.865876449133282e-10,0.0
-5.969924812030075,0.002547924969607303,1.1868147575810895e-09,0.0
-5.93984962406015,0.0026255140047558006,1.4264182057743824e-09,0.0
-5.909774436090226,0.0027054593611537388,1.7128825025025662e-09,0.0
-5.879699248120301,0.002787832202354142,2.0550628976323537e-09,0.0
-5.849624060150376,0.002872705816642754,2.4634264628176084e-09,0.0
-5.819548872180452,0.0029601556789609924,2.9503334775249357e-09,0.0
-5.7894736842105265,0.0030502595145393656,3.5303658885155187e-09,0.0
-5.7593984962406015,0.0031430973642826115,4.2207101147440085e-09,0.0
-5.7293233082706765,0.0032387516519485357,5.04160274639176e-09,0.0
-5.6992481203007515,0.0033373072531629965,6.0168487969747275e-09,0.0
-5.669172932330827,0.0034388515663141173,7.1744241658677765e-09,0.0
-5.639097744360902,0.003543474585369341,8.547174301654081e-09,0.0
-5.609022556390977,0.003651268974659396,1.0173625275555764e-08,0.0
-5.578947368421053,0.003762330145673825,1.2098921864378553e-08,0.0
-5.548872180451128,0.0038767563359130733,1.4375913903741377e-08,0.0
-5.518796992481203,0.003994648689842554,1.706641122867225e-08,0.0
-5.488721804511278,0.00411611134199454,2.0242633180789227e-08,0.0
-5.458646616541353,0.0042412515022639445,2.398887938293015e-08,0.0
-5.428571428571429,0.004370179543444354,2.8403455365477726e-08,0.0
-5.398496240601504,0.004503009091050917,3.3600887960894e-08,0.0
-5.368421052631579,0.004639857115476698,3.971447298800612e-08,0.0
-5.338345864661655,0.004780844026529357,4.689919946843091e-08,0.0
-5.30827067669173,0.004926093770394857,5.5335105386689065e-08,0.0
-5.2781954887218046,0.005075733929074817,6.523112205947257e-08,0.0
-5.2481203007518795,0.005229895822344085,7.682947478215851e-08,0.0
-5.2180451127819545,0.005388714612274651,9.041071435955672e-08,0.0
-5.18796992481203,0.005552329410371743,1.0629946345375174e-07,0.0
-5.157894736842105,0.0057208833873674675,1.2487097322821938e-07,0.0
-5.12781954887218,0.005894523885716622,1.4655859426060402e-07,0.0
-5.097744360902256,0.00607340253483874,1.7186228229437717e-07,0.0
-5.067669172932331,0.0062576753691494045,2.0135826939160495e-07,0.0
-5.037593984962406,0.006447502948922846,2.3571004970079912e-07,0.0
-5.007518796992481,0.006643050484026738,2.756808427650803e-07,0.0
-4.977443609022556,0.006844487960568636,3.221477197778988e-07,0.0
-4.947368421052632,0.007051990270491974,3.761175941807693e-07,0.0
-4.917293233082707,0.007265737344157845,4.387453043097622e-07,0.0
-4.887218045112782,0.007485914285946693,5.113540377243986e-07,0.0
-4.857142857142858,0.00771271151291203,5.954583747747044e-07,0.0
-4.827067669172933,0.007946324896515746,6.927902578279799e-07,0.0
-4.796992481203008,0.008186955907471856,8.053282241071713e-07,0.0
-4.7669172932330826,0.008434811763722749,9.353302744541381e-07,0.0
-4.7368421052631575,0.00869010558156858,1.085370788911355e-06,0.0
-4.706766917293233,0.008953056529966951,1.2583819376521532e-06,0.0
-4.676691729323308,0.009223889988016236,1.4577000833071452e-06,0.0
-4.646616541353383,0.00950283770563144,1.6871177133115367e-06,0.0
-4.616541353383459,0.009790137967417227,1.9509414960205973e-06,0.0
-4.586466165413534,0.010086035759737462,2.2540571041340662e-06,0.0
-4.556390977443609,0.01039078294097534,2.6020015108096928e-06,0.0
-4.526315789473684,0.010704638414972404,3.0010435231320187e-06,0.0
-4.496240601503759,0.011027868307628344,3.4582733857702053e-06,0.0
-4.466165413533835,0.011360746146636742,3.9817023557153775e-06,0.0
-4.43609022556391,0.011703553044324723,4.580373225537837e-06,0.0
-4.406015037593985,0.012056577883556368,5.2644828505421515e-06,0.0
-4.375939849624061,0.012420117506651772,6.04551781741014e-06,0.0
-4.345864661654136,0.01279447690726428,6.936404480406555e-06,0.0
-4.315789473684211,0.013179969425148834,7.951674682593612e-06,0.0
-4.285714285714286,0.013576916943744367,9.107648574480098e-06,0.0
-4.2556390977443606,0.01398565009048186,1.0422636042117794e-05,0.0
-4.225563909774436,0.014406508439718156,1.191715836101892e-05,0.0
-4.195488721804511,0.01483984071818317,1.3614191797239883e-05,0.0
-4.165413533834586,0.015286005012814631,1.5539434988609546e-05,0.0
-4.135338345864662,0.015745368980840883,1.7721602049936003e-05,0.0
-4.105263157894737,0.01621831006195678,2.0192743461822094e-05,0.0
-4.075187969924812,0.01670521569242207,2.2988596918738224e-05,0.0
-4.045112781954887,0.017206483520895027,2.614897042818587e-05,0.0
-4.015037593984962,0.01772252162579595,2.9718160072134125e-05,0.0
-3.984962406015038,0.018253748733976574,3.3745404955598524e-05,0.0
-3.954887218045113,0.01880059444045152,3.8285381985414535e-05,0.0
-3.924812030075188,0.019363499428926737,4.339874323022741e-05,0.0
-3.8947368421052633,0.01994291569283822,4.915269872424188e-05,0.0
-3.8646616541353387,0.020539306756590565,5.562164767725086e-05,0.0
-3.8345864661654137,0.021153147896660583,6.288786114888589e-05,0.0
-3.8045112781954886,0.02178492636220554,7.104221933418309e-05,0.0
-3.774436090225564,0.0224351415947885,8.018500668055539e-05,0.0
-3.7443609022556394,0.023104305446804873,9.042676812398565e-05,0.0
-3.7142857142857144,0.023792942398164606,0.00010188922978071613,0.0
-3.6842105263157894,0.024501589770753368,0.00011470628746540479,0.0
-3.654135338345865,0.0252307979401637,0.0001290250664216508,0.0
-3.62406015037594,0.025981130544153127,0.00014500705564712835,0.0
-3.593984962406015,0.026753164687250808,0.0001628293201650921,0.0
-3.56390977443609,0.0275474911408976,0.0001826857945415039,0.0
-3.5338345864661656,0.02836471453846614,0.00020478866086348635,0.0
-3.503759398496241,0.02920545356446781,0.00022936981428078873,0.0
-3.473684210526316,0.03007034113721186,0.00025668241906684486,0.0
-3.443609022556391,0.030960024584139784,0.0002870025579685409,0.0
-3.4135338345864663,0.03187516580901352,0.00032063097739432056,0.0
-3.3834586466165417,0.032816441450090564,0.0003578949307224688,0.0
-3.3533834586466167,0.0337845430283719,0.0003991501217044946,0.0
-3.3233082706766917,0.034780177084960534,0.00044478274957981956,0.0
-3.293233082706767,0.03580406530651867,0.0004952116571138587,0.0
-3.2631578947368425,0.036856944637760576,0.0005508905823120025,0.0
-3.2330827067669174,0.037939567379866174,0.0006123105140532492,0.0
-3.2030075187969924,0.03905270127364717,0.0006800021513170273,0.0
-3.172932330827068,0.040197129566243876,0.0007545384650550213,0.0
-3.1428571428571432,0.04137365106007536,0.0008365373610761395,0.0
-3.112781954887218,0.04258308014271046,0.0009266644415718561,0.0
-3.082706766917293,0.04382624679627081,0.0010256358621065775,0.0
-3.0526315789473686,0.04510399658492103,0.0011342212800389273,0.0
-3.022556390977444,0.046417190618944205,0.001253246889418469,0.0
-2.992481203007519,0.04776670549384469,0.0013835985364264447,0.0012531328320801727
-2.962406015037594,0.04915343320286402,0.001526224908393381,0.00626566416040103
