beta_pay_delay,log_likelihood
-0.7628063961886469,-20974.848500354954
-0.7507582034175625,-20871.021351360345
-0.7387100106464782,-20767.919103765817
-0.7266618178753939,-20665.54413131311
-0.7146136251043095,-20563.89873877253
-0.7025654323332252,-20462.985163030007
-0.6905172395621408,-20362.80557434251
-0.6784690467910565,-20263.362077763602
-0.6664208540199722,-20164.656714740704
-0.6543726612488878,-20066.691464885236
-0.6423244684778036,-19969.468247916746
-0.6302762757067192,-19872.988925781843
-0.6182280829356348,-19777.255304948376
-0.6061798901645505,-19682.269138875454
-0.5941316973934662,-19588.032130659252
-0.5820835046223818,-19494.545935854723
-0.5700353118512975,-19401.812165473006
-0.5579871190802131,-19309.832389154093
-0.5459389263091288,-19218.60813851437
-0.5338907335380445,-19128.140910668255
-0.5218425407669601,-19038.43217192329
-0.5097943479958758,-18949.483361647654
-0.49774615522479143,-18861.295896309195
-0.4856979624537071,-18773.87117368476
-0.47364976968262273,-18687.2105772387
-0.4616015769115384,-18601.315480668964
-0.4495533841404541,-18516.18725261948
-0.4375051913693698,-18431.82726155693
-0.4254569985982854,-18348.236880810113
-0.4134088058272011,-18265.41749376955
-0.40136061305611676,-18183.370499244884
-0.3893124202850324,-18102.097316976957
-0.37726422751394806,-18021.599393300967
-0.36521603474286374,-17941.878206956404
-0.35316784197177936,-17862.93527503839
-0.34111964920069504,-17784.772159084092
-0.3290714564296107,-17707.390471286206
-0.31702326365852634,-17630.79188082397
-0.304975070887442,-17554.978120299715
-0.2929268781163577,-17479.950992266567
-0.2808786853452734,-17405.712375829546
-0.268830492574189,-17332.264233298487
-0.25678229980310463,-17259.608616866768
-0.24473410703202036,-17187.747675284285
-0.232685914260936,-17116.683660486975
-0.2206377214898516,-17046.418934137706
-0.20858952871876735,-16976.95597402512
-0.19654133594768297,-16908.29738025727
-0.1844931431765986,-16840.445881176136
-0.17244495040551433,-16773.40433890709
-0.16039675763442995,-16707.175754444044
-0.1483485648633457,-16641.763272156706
-0.1363003720922613,-16577.170183591166
-0.12425217932117694,-16513.399930419255
-0.11220398655009267,-16450.4561063761
-0.1001557937790083,-16388.342458010076
-0.08810760100792392,-16327.062884055129
-0.07605940823683965,-16266.621433223838
-0.06401121546575528,-16207.022300211253
-0.0519630226946709,-16148.269819696536
-0.03991482992358664,-16090.368458132638
-0.02786663715250226,-16033.32280312599
-0.015818444381417884,-15977.137550229816
-0.0037702516103336192,-15921.817487007827
0.008277941160750757,-15867.36747427115
0.020326133931835133,-15813.792424451061
0.0323743267029194,-15761.097277143574
0.044422519474003774,-15709.286971948171
0.05647071224508815,-15658.366418820224
0.06851890501617242,-15608.340466261174
0.08056709778725679,-15559.213867778122
0.09261529055834117,-15510.991247149155
0.10466348332942543,-15463.677063125413
0.11671167610050981,-15417.275574279036
0.12875986887159419,-15371.790804759847
0.14080806164267845,-15327.226511747209
0.15285625441376283,-15283.58615537215
0.1649044471848472,-15240.872871835869
0.17695263995593147,-15199.089450365102
0.18900083272701584,-15158.238314525224
0.2010490254981001,-15118.321508265166
0.21309721826918449,-15079.340686902458
0.22514541104026886,-15041.297113082534
0.23719360381135313,-15004.19165757463
0.2492417965824376,-14968.024804607632
0.2612899893535219,-14932.796661312394
0.27333818212460614,-14898.506970729179
0.28538637489569063,-14865.155127764167
0.2974345676667749,-14832.740197438956
0.30948276043785916,-14801.260934770398
0.32153095320894365,-14770.715805641295
0.3335791459800279,-14741.103008070448
0.3456273387511122,-14712.420493357109
0.35767553152219667,-14684.665986653643
0.36972372429328093,-14657.837006605045
0.3817719170643652,-14631.930883779438
0.3938201098354497,-14606.944777695437
0.40586830260653395,-14582.875692326987
0.4179164953776182,-14559.720490031592
0.4299646881487025,-14537.47590390292
0.44201288091978697,-14516.13854859295
0.45406107369087123,-14495.704929682572
0.4661092664619555,-14476.17145170382
0.47815745923304,-14457.534424932539
0.49020565200412425,-14439.790071078954
0.5022538447752085,-14422.934528006204
0.514302037546293,-14406.96385360503
0.5263502303173773,-14391.874028947503
0.5383984230884615,-14377.66096083482
0.550446615859546,-14364.320483845006
0.5624948086306303,-14351.848361976034
0.5745430014017145,-14340.240289969537
0.586591194172799,-14329.491894389721
0.5986393869438833,-14319.598734522278
0.6106875797149676,-14310.556303148605
0.622735772486052,-14302.360027242103
0.6347839652571363,-14295.00526862544
0.6468321580282206,-14288.487324620839
0.6588803507993051,-14282.801428719049
0.6709285435703893,-14277.94275128757
0.6829767363414736,-14273.906400333897
0.6950249291125581,-14270.687422335588
0.7070731218836424,-14268.280803145703
0.7191213146547266,-14266.68146897927
0.7311695074258111,-14265.884287484107
0.7432177001968954,-14265.884068897416
0.7552658929679796,-14266.675567288046
0.7673140857390641,-14268.25348188297
0.7793622785101484,-14270.61245847561
0.7914104712812327,-14273.747090912893
0.8034586640523171,-14277.65192265722
0.8155068568234014,-14282.321448419229
0.8275550495944857,-14287.750115856878
0.8396032423655702,-14293.932327336146
0.8516514351366544,-14300.862441748592
0.8636996279077387,-14308.534776380902
0.8757478206788232,-14316.943608831656
0.8877960134499074,-14326.083178970483
0.8998442062209917,-14335.947690934923
0.9118923989920762,-14346.531315160428
0.9239405917631605,-14357.82819043899
0.9359887845342447,-14369.832426002129
0.9480369773053292,-14382.538103623965
0.9600851700764135,-14395.939279740416
0.9721333628474977,-14410.029987580585
0.9841815556185822,-14424.804239306599
0.9962297483896665,-14440.256028158336
1.0082779411607508,-14456.379330599546
1.0203261339318352,-14473.16810846213
1.0323743267029195,-14490.616311085336
1.0444225194740038,-14508.717877446903
1.0564707122450883,-14527.466738283223
1.0685189050161725,-14546.856818195763
1.0805670977872568,-14566.882037741081
1.0926152905583413,-14587.536315501908
1.1046634833294255,-14608.813570136881
1.1167116761005098,-14630.707722406638
1.1287598688715943,-14653.212697174014
1.1408080616426786,-14676.32242537633
1.1528562544137628,-14700.030845967707
1.164904447184847,-14724.331907829615
1.1769526399559316,-14749.219571647729
1.1890008327270158,-14774.687811753562
1.2010490254981,-14800.730617929152
1.2130972182691846,-14827.341997173431
1.2251454110402689,-14854.51597542876
1.2371936038113531,-14882.246599266393
1.2492417965824376,-14910.52793752974
1.261289989353522,-14939.354082934082
1.2733381821246061,-14968.719153622049
1.2853863748956906,-14998.617294673622
1.2974345676667751,-15029.042679570073
1.3094827604378592,-15059.989511610878
1.3215309532089436,-15091.452025283266
1.3335791459800281,-15123.424487583477
1.3456273387511122,-15155.901199289528
1.3576755315221967,-15188.876496185107
1.3697237242932812,-15222.344750234028
1.3817719170643652,-15256.300370705538
1.3938201098354497,-15290.737805249653
1.4058683026065342,-15325.651540923469
1.4179164953776182,-15361.03610516731
1.4299646881487027,-15396.886066731895
1.4420128809197872,-15433.196036556134
1.4540610736908712,-15469.960668595912
1.4661092664619557,-15507.174660604378
1.4781574592330402,-15544.832754863932
1.4902056520041242,-15582.929738870705
1.5022538447752087,-15621.46044597157
1.5143020375462932,-15660.41975595502
1.5263502303173773,-15699.802595595636
1.5383984230884618,-15739.603939153685
1.5504466158595462,-15779.818808830703
1.5624948086306303,-15820.442275180267
1.5745430014017148,-15861.46945747763
1.5865911941727988,-15902.895524045727
1.5986393869438833,-15944.715692542226
1.6106875797149678,-15986.925230204943
1.6227357724860518,-16029.519454059198
1.6347839652571363,-16072.493731086848
1.6468321580282208,-16115.843478358953
1.6588803507993048,-16159.56416313246
1.6709285435703893,-16203.65130291133
1.6829767363414738,-16248.100465474638
1.6950249291125579,-16292.907268874535
1.7070731218836424,-16338.067381397497
1.7191213146547268,-16383.576521499985
1.7311695074258109,-16429.430457713403
1.7432177001968954,-16475.625008521685
1.7552658929679799,-16522.156042209877
1.767314085739064,-16569.01947668985
1.7793622785101484,-16616.21127929996
1.7914104712812329,-16663.727466580716
1.803458664052317,-16711.5641040301
1.8155068568234014,-16759.717305833943
1.827555049594486,-16808.183234583266
1.83960324236557,-16856.958100961598
1.8516514351366544,-16906.0381634223
1.863699627907739,-16955.419727850018
1.875747820678823,-17005.09914719976
1.8877960134499074,-17055.07282112549
1.899844206220992,-17105.33719558735
1.911892398992076,-17155.888762462637
1.9239405917631605,-17206.724059124488
1.935988784534245,-17257.839668022207
1.948036977305329,-17309.23221624041
1.9600851700764135,-17360.898375071803
1.972133362847498,-17412.834859545008
1.984181555618582,-17465.03842797144
1.9962297483896665,-17517.505881488054
2.0082779411607508,-17570.23406356548
2.0203261339318352,-17623.219859547535
2.0323743267029197,-17676.46019614476
2.044422519474004,-17729.95204095929
2.056470712245088,-17783.692401998727
2.0685189050161723,-17837.678327155685
2.080567097787257,-17891.906903738534
2.0926152905583413,-17946.37525795955
2.1046634833294258,-18001.080554412278
2.1167116761005103,-18056.0199956074
2.128759868871594,-18111.190821430668
2.1408080616426783,-18166.590308696555
2.152856254413763,-18222.215770561354
2.1649044471848473,-18278.064556126214
2.176952639955932,-18334.13404983255
2.1890008327270163,-18390.421671020333
2.2010490254981,-18446.924873467684
2.2130972182691844,-18503.641144815323
2.225145411040269,-18560.56800613711
2.2371936038113533,-18617.703011425256
