"beta_pay_delay","log_likelihood"
-0.762806397366223,-20974.8485108041
-0.750758204595139,-20871.0213617052
-0.738710011824054,-20767.9191140133
-0.72666181905297,-20665.5441414635
-0.714613626281886,-20563.8987488256
-0.702565433510801,-20462.9851729824
-0.690517240739717,-20362.8055841919
-0.678469047968632,-20263.3620875161
-0.666420855197548,-20164.656724392
-0.654372662426464,-20066.6914744373
-0.64232446965538,-19969.4682573691
-0.630276276884295,-19872.988935136
-0.618228084113211,-19777.2553142055
-0.606179891342127,-19682.2691480346
-0.594131698571042,-19588.0321397196
-0.582083505799958,-19494.5459448132
-0.570035313028874,-19401.8121743321
-0.557987120257789,-19309.8323979172
-0.545938927486705,-19218.6081471793
-0.533890734715621,-19128.1409192343
-0.521842541944536,-19038.4321803915
-0.509794349173452,-18949.4833700222
-0.497746156402367,-18861.2959045832
-0.485697963631283,-18773.8711818618
-0.473649770860199,-18687.2105853192
-0.461601578089114,-18601.3154886526
-0.44955338531803,-18516.1872605079
-0.437505192546946,-18431.8272693491
-0.425456999775861,-18348.236888505
-0.413408807004777,-18265.4175013699
-0.401360614233693,-18183.3705067495
-0.389312421462608,-18102.0973243859
-0.377264228691524,-18021.5994006178
-0.36521603592044,-17941.8782141776
-0.353167843149355,-17862.9352821645
-0.341119650378271,-17784.7721661174
-0.329071457607187,-17707.3904782273
-0.317023264836102,-17630.7918876715
-0.304975072065018,-17554.9781270584
-0.292926879293934,-17479.950998929
-0.280878686522849,-17405.7123824015
-0.268830493751765,-17332.2642397772
-0.256782300980681,-17259.6086232557
-0.244734108209596,-17187.7476815826
-0.232685915438512,-17116.6836666925
-0.220637722667428,-17046.4189402559
-0.208589529896343,-16976.9559800541
-0.196541337125259,-16908.2973861938
-0.184493144354175,-16840.4458870231
-0.17244495158309,-16773.4043446625
-0.160396758812006,-16707.1757601087
-0.148348566040922,-16641.763277736
-0.136300373269837,-16577.1701890833
-0.124252180498753,-16513.3999358188
-0.112203987727669,-16450.4561116893
-0.100155794956584,-16388.3424632345
-0.0881076021855,-16327.0628891923
-0.0760594094144157,-16266.6214382763
-0.0640112166433313,-16207.0223051737
-0.0519630238722469,-16148.2698245723
-0.0399148311011627,-16090.3684629258
-0.0278666383300783,-16033.32280783
-0.0158184455589939,-15977.1375548481
-0.00377025278790966,-15921.817491541
0.00827793998317472,-15867.3674787167
0.0203261327542591,-15813.7924288102
0.0323743255253434,-15761.0972814144
0.0444225182964277,-15709.2869761344
0.0564707110675121,-15658.3664229215
0.0685189038385964,-15608.3404702769
0.0805670966096808,-15559.2138717053
0.0926152893807651,-15510.9912509969
0.104663482151849,-15463.6770668857
0.116711674922934,-15417.2755779523
0.128759867694018,-15371.7908083497
0.140808060465102,-15327.2265152525
0.152856253236187,-15283.5861587924
0.164904446007271,-15240.8728751712
0.176952638778355,-15199.0894536191
0.18900083154944,-15158.2383176965
0.201049024320524,-15118.3215113532
0.213097217091608,-15079.3406899054
0.225145409862693,-15041.2971160067
0.237193602633777,-15004.1916604149
0.249241795404862,-14968.0248073671
0.261289988175946,-14932.7966639939
0.27333818094703,-14898.5069733295
0.285386373718115,-14865.1551302819
0.297434566489199,-14832.7401998782
0.309482759260283,-14801.2609371296
0.321530952031368,-14770.7158079254
0.333579144802452,-14741.1030102789
0.345627337573536,-14712.4204954881
0.357675530344621,-14684.6659887089
0.369723723115705,-14657.8370085805
0.381771915886789,-14631.930885681
0.393820108657874,-14606.9447795235
0.405868301428958,-14582.8756940826
0.417916494200042,-14559.7204917121
0.429964686971126,-14537.4759055128
0.442012879742211,-14516.1385501311
0.454061072513295,-14495.7049311515
0.466109265284379,-14476.1714531003
0.478157458055464,-14457.5344262613
0.490205650826548,-14439.7900723399
0.502253843597632,-14422.9345291983
0.514302036368717,-14406.9638547308
0.526350229139801,-14391.8740300063
0.538398421910885,-14377.6609618251
0.55044661468197,-14364.3204847697
0.562494807453054,-14351.8483628408
0.574543000224139,-14340.2402907686
0.586591192995223,-14329.4918951251
0.598639385766307,-14319.5987351957
0.610687578537392,-14310.5563037603
0.622735771308476,-14302.3600277949
0.63478396407956,-14295.0052691146
0.646832156850645,-14288.4873250496
0.658880349621729,-14282.8014290873
0.670928542392813,-14277.9427515993
0.682976735163898,-14273.9064005852
0.695024927934982,-14270.6874225308
0.707073120706066,-14268.280803283
0.719121313477151,-14266.6814690608
0.731169506248235,-14265.8842875093
0.743217699019319,-14265.884068867
0.755265891790404,-14266.6755672034
0.767314084561488,-14268.2534817449
0.779362277332572,-14270.6124582842
0.791410470103657,-14273.7470906704
0.803458662874741,-14277.6519223623
0.815506855645825,-14282.3214480734
0.82755504841691,-14287.7501154607
0.839603241187994,-14293.9323268907
0.851651433959078,-14300.8624412514
0.863699626730163,-14308.5347758336
0.875747819501247,-14316.9436082365
0.887796012272331,-14326.0831783276
0.899844205043416,-14335.9476902484
0.9118923978145,-14346.5313144249
0.923940590585584,-14357.8281896567
0.935988783356669,-14369.8324251744
0.948036976127753,-14382.538102752
0.960085168898837,-14395.9392788262
0.972133361669922,-14410.0299866211
0.984181554441006,-14424.8042383035
0.99622974721209,-14440.2560271138
1.00827793998317,-14456.3793295123
1.02032613275426,-14473.1681073316
1.03237432552534,-14490.6163099153
1.04442251829643,-14508.7178762374
1.05647071106751,-14527.4667370315
1.0685189038386,-14546.8568169089
1.08056709660968,-14566.8820364118
1.09261528938077,-14587.5363141359
1.10466348215185,-14608.8135687312
1.11671167492293,-14630.7077209663
1.12875986769402,-14653.2126956932
1.1408080604651,-14676.3224238626
1.15285625323619,-14700.0308444206
1.16490444600727,-14724.3319062453
1.17695263877836,-14749.2195700307
1.18900083154944,-14774.6878100982
1.20104902432052,-14800.7306162418
1.21309721709161,-14827.341995454
1.22514540986269,-14854.5159736745
1.23719360263378,-14882.2465974815
1.24924179540486,-14910.5279357143
1.26128998817595,-14939.3540810856
1.27333818094703,-14968.7191517406
1.28538637371811,-14998.6172927633
1.2974345664892,-15029.0426776279
1.30948275926028,-15059.9895096425
1.32153095203137,-15091.4520232836
1.33357914480245,-15123.4244855596
1.34562733757354,-15155.9011972343
1.35767553034462,-15188.876494102
1.36972372311571,-15222.3447481242
1.38177191588679,-15256.3003685702
1.39382010865787,-15290.7378030859
1.40586830142896,-15325.6515387356
1.41791649420004,-15361.0361029541
1.42996468697113,-15396.8860644922
1.44201287974221,-15433.1960342898
1.4540610725133,-15469.9606663068
1.46610926528438,-15507.1746582888
1.47815745805546,-15544.8327525263
1.49020565082655,-15582.9297365133
1.50225384359763,-15621.4604435867
1.51430203636872,-15660.4197535492
1.5263502291398,-15699.8025931675
1.53839842191089,-15739.6039367057
1.55044661468197,-15779.8188063587
1.56249480745305,-15820.4422726862
1.57454300022414,-15861.4694549627
1.58659119299522,-15902.8955215122
1.59863938576631,-15944.7156899884
1.61068757853739,-15986.9252276318
1.62273577130848,-16029.519451464
1.63478396407956,-16072.4937284725
1.64683215685064,-16115.8434757265
1.65888034962173,-16159.5641604801
1.67092854239281,-16203.6513002404
1.6829767351639,-16248.1004627873
1.69502492793498,-16292.9072661723
1.70707312070607,-16338.0673786757
1.71912131347715,-16383.5765187609
1.73116950624823,-16429.4304549572
1.74321769901932,-16475.6250057486
1.7552658917904,-16522.1560394219
1.76731408456149,-16569.0194738889
1.77936227733257,-16616.2112764789
1.79141047010366,-16663.7274637459
1.80345866287474,-16711.5641011812
1.81550685564583,-16759.717302967
1.82755504841691,-16808.1832317031
1.83960324118799,-16856.9580980672
1.85165143395908,-16906.0381605118
1.86369962673016,-16955.4197249286
1.87574781950125,-17005.0991442627
1.88779601227233,-17055.0728181764
1.89984420504342,-17105.3371926222
1.9118923978145,-17155.8887594851
1.92394059058558,-17206.7240561359
1.93598878335667,-17257.8396650167
1.94803697612775,-17309.2322132283
1.96008516889884,-17360.8983720514
1.97213336166992,-17412.8348565053
1.98418155444101,-17465.0384249243
1.99622974721209,-17517.5058784243
2.00827793998317,-17570.2340604962
2.02032613275426,-17623.2198564667
2.03237432552534,-17676.4601930531
2.04442251829643,-17729.9520378543
2.05647071106751,-17783.6923988825
2.0685189038386,-17837.6783240292
2.08056709660968,-17891.9069006022
2.09261528938077,-17946.3752548156
2.10466348215185,-18001.080551249
2.11671167492293,-18056.0199924374
2.12875986769402,-18111.1908182566
2.1408080604651,-18166.590305506
2.15285625323619,-18222.2157673696
2.16490444600727,-18278.0645529329
2.17695263877836,-18334.1340466052
2.18900083154944,-18390.4216678136
2.20104902432052,-18446.9248702466
2.21309721709161,-18503.64114158
2.22514540986269,-18560.5680028853
2.23719360263378,-18617.70300816
