x,真实条件均值,NW核回归,局部线性
0.0,1.0,1.2300839829781591,0.9612204380384881
0.006289308176100629,1.0125786163522013,1.236395098833646,0.974380459700066
0.012578616352201259,1.0251572327044025,1.2428569474375557,0.9876950793799426
0.01886792452830189,1.0377358490566038,1.2494688137639929,1.0011595002768336
0.025157232704402517,1.050314465408805,1.2562297723129119,1.0147687166390182
0.031446540880503145,1.0628930817610063,1.2631386913572094,1.0285174948284739
0.03773584905660378,1.0754716981132075,1.2701942384934006,1.0424003552039074
0.04402515723270441,1.0880503144654088,1.2773948874356358,1.0564115551673827
0.050314465408805034,1.10062893081761,1.284738925970795,1.0705450737564648
0.05660377358490566,1.1132075471698113,1.2922244649708157,1.0847945981977178
0.06289308176100629,1.1257861635220126,1.2998494483376557,1.0991535128654981
0.06918238993710692,1.1383647798742138,1.3076116637370137,1.113614891111168
0.07547169811320756,1.150943396226415,1.315508753959492,1.128171490438581
0.08176100628930819,1.1635220125786163,1.3235382287329143,1.142815751500419
0.08805031446540881,1.1761006289308176,1.33169747679739,1.1575398013739397
0.09433962264150944,1.1886792452830188,1.3399837780459367,1.1723354615416133
0.10062893081761007,1.20125786163522,1.3483943155284088,1.1871942609509256
0.1069182389937107,1.2138364779874213,1.3569261871154843,1.2021074544561832
0.11320754716981132,1.2264150943396226,1.3655764166227884,1.217066046854065
0.11949685534591195,1.2389937106918238,1.3743419642030843,1.2320608226138718
0.12578616352201258,1.251572327044025,1.383219735826984,1.247082381274735
0.1320754716981132,1.2641509433962264,1.3922065916897794,1.262121178338885
0.13836477987421383,1.2767295597484276,1.40129935340381,1.2771675713358552
0.14465408805031446,1.2893081761006289,1.4104948098619914,1.292211870572951
0.15094339622641512,1.3018867924528301,1.419789721688584,1.307244393929056
0.15723270440251574,1.3144654088050314,1.4291808242275261,1.3222555248981818
0.16352201257861637,1.3270440251572326,1.438664829056294,1.3372357729543471
0.169811320754717,1.3396226415094339,1.4482384240537094,1.3521758351972741
0.17610062893081763,1.3522012578616351,1.4578982720926783,1.3670666581558701
0.18238993710691825,1.3647798742138364,1.4676410084728153,1.3818994985796103
0.18867924528301888,1.3773584905660377,1.4774632372523342,1.3966659820403533
0.1949685534591195,1.389937106918239,1.4873615266825742,1.4113581582015997
0.20125786163522014,1.4025157232704402,1.4973324039909752,1.425968551688446
0.20754716981132076,1.4150943396226414,1.5073723497980842,1.4404902076075001
0.2138364779874214,1.4276729559748427,1.517477792490119,1.4549167309170083
0.22012578616352202,1.440251572327044,1.5276451028994273,1.469242319027295
0.22641509433962265,1.4528301886792452,1.5378705896697018,1.4834617872117748
0.23270440251572327,1.4654088050314464,1.5481504956997019,1.4975705866206706
0.2389937106918239,1.4779874213836477,1.558480996067471,1.5115648149028047
0.24528301886792453,1.490566037735849,1.5688581978354255,1.5254412196466134
0.25157232704402516,1.5031446540880502,1.5792781421244384,1.5391971950406964
0.2578616352201258,1.5157232704402515,1.5897368088214188,1.552830772319288
0.2641509433962264,1.5283018867924527,1.6002301242494714,1.5663406046933774
0.27044025157232704,1.540880503144654,1.6107539720824833,1.5797259475694931
0.27672955974842767,1.5534591194968552,1.6213042077271131,1.5929866349236217
0.2830188679245283,1.5660377358490565,1.6318766763254375,1.6061230527269983
0.2893081761006289,1.5786163522012577,1.6424672344519513,1.619136110315154
0.29559748427672955,1.591194968553459,1.6530717754908648,1.6320272105545075
0.30188679245283023,1.6037735849056605,1.663686258585546,1.6447982195960007
0.30817610062893086,1.6163522012578617,1.6743067409539634,1.657451436917227
0.3144654088050315,1.628930817610063,1.6849294132646446,1.669989566248372
0.3207547169811321,1.6415094339622642,1.6955506376698883,1.6824156878578707
0.32704402515723274,1.6540880503144655,1.7061669879997827,1.6947332325459112
0.33333333333333337,1.6666666666666667,1.7167752915348764,1.7069459575620332
0.339622641509434,1.679245283018868,1.7273726717000812,1.7190579245310125
0.3459119496855346,1.6918238993710693,1.7379565909600463,1.7310734793425637
0.35220125786163525,1.7044025157232705,1.7485248931490982,1.7429972338378246
0.3584905660377359,1.7169811320754718,1.7590758444384946,1.7548340490122125
0.3647798742138365,1.729559748427673,1.7696081721313408,1.7665890193521958
0.37106918238993714,1.7421383647798743,1.7801211004814408,1.7782674578355038
0.37735849056603776,1.7547169811320755,1.790614382756412,1.789874881052848
0.3836477987421384,1.7672955974842768,1.8010883288066115,1.8014169938568858
0.389937106918239,1.779874213836478,1.811543827458328,1.8128996729141988
0.39622641509433965,1.7924528301886793,1.8219823631202277,1.8243289485310663
0.4025157232704403,1.8050314465408805,1.8324060260737371,1.8357109841471753
0.4088050314465409,1.8176100628930818,1.8428175160081959,1.8470520529455245
0.41509433962264153,1.830188679245283,1.8532201384573368,1.8583585111138352
0.42138364779874216,1.8427672955974843,1.863617793892186,1.8696367674133008
0.4276729559748428,1.8553459119496856,1.8740149593240956,1.8808932488642571
0.4339622641509434,1.8679245283018868,1.8844166623680876,1.892134362541945
0.44025157232704404,1.880503144654088,1.8948284478090447,1.9033664536838937
0.44654088050314467,1.8930817610062893,1.9052563368000366,1.9145957605357131
0.4528301886792453,1.9056603773584906,1.9157067789025455,1.925828366593404
0.4591194968553459,1.9182389937106918,1.9261865972519567,1.9370701511245534
0.46540880503144655,1.930817610062893,1.9367029271988712,1.9483267390539238
0.4716981132075472,1.9433962264150944,1.9472631488380738,1.9596034514649971
0.4779874213836478,1.9559748427672956,1.9578748138935598,1.9709052580838864
0.48427672955974843,1.9685534591194969,1.9685455674811805,1.9822367331629864
0.49056603773584906,1.9811320754716981,1.9792830653217919,1.993602016159735
0.4968553459119497,1.9937106918238994,1.9900948870288473,2.0050047785068696
0.5031446540880503,2.0062893081761004,2.000988446146629,2.0164481975958957
0.5094339622641509,2.018867924528302,2.011970897669999,2.027934938852755
0.5157232704402516,2.031446540880503,2.023049043834461,2.039467146486867
0.5220125786163522,2.0440251572327046,2.034229239026869,2.051046443159986
0.5283018867924528,2.0566037735849054,2.045517294731912,2.0626739384705717
0.5345911949685535,2.069182389937107,2.0569183854966577,2.0743502458050815
0.5408805031446541,2.081761006289308,2.0684369569631826,2.086075506791819
0.5471698113207547,2.0943396226415096,2.0800766370851456,2.097849422324329
0.5534591194968553,2.1069182389937104,2.091840151704923,2.10967128891501
0.559748427672956,2.119496855345912,2.1037292457195647,2.121540039004481
0.5660377358490566,2.132075471698113,2.11574461110218,2.133454283792634
0.5723270440251572,2.1446540880503147,2.127885823065253,2.145412357170023
0.5786163522012578,2.1572327044025155,2.1401512856492446,2.1574123594070156
0.5849056603773585,2.169811320754717,2.1525381879885246,2.1694521993914817
0.5911949685534591,2.182389937106918,2.165042472443071,2.181529634380429
0.5974842767295597,2.1949685534591197,2.1776588156847017,2.19364230643193
0.6037735849056605,2.207547169811321,2.190380623688512,2.2057877748973165
0.6100628930817611,2.220125786163522,2.203200041402617,2.21796354456563
0.6163522012578617,2.2327044025157234,2.216107977652954,2.2301670892529204
0.6226415094339623,2.2452830188679247,2.2290941455874758,2.2423958708083314
0.628930817610063,2.257861635220126,2.242147118680201,2.254647353662186
0.6352201257861636,2.270440251572327,2.2552544020071927,2.266919015164144
0.6415094339622642,2.2830188679245285,2.268402518182125,2.2792083520517776
0.6477987421383649,2.2955974842767297,2.2815771070090887,2.291512883451627
0.6540880503144655,2.308176100628931,2.2947630375862857,2.30383015084914
0.6603773584905661,2.3207547169811322,2.3079445312881792,2.316157715473589
0.6666666666666667,2.3333333333333335,2.321105293778128,2.3284931535335107
0.6729559748427674,2.3459119496855347,2.3342286539697645,2.340834049711744
0.679245283018868,2.358490566037736,2.3472977076738446,2.3531779892908045
0.6855345911949686,2.3710691823899372,2.360295463546208,2.3655225492336265
0.6918238993710693,2.3836477987421385,2.3732049888975966,2.3778652884949505
0.6981132075471699,2.3962264150943398,2.3860095529403216,2.3902037377884424
0.7044025157232705,2.408805031446541,2.3986927651299106,2.402535388986488
0.7106918238993711,2.4213836477987423,2.41123870640861,2.4148576842858915
0.7169811320754718,2.4339622641509435,2.4236320513657064,2.4271680052348366
0.7232704402515724,2.4465408805031448,2.435858179588401,2.4394636616859864
0.729559748427673,2.459119496855346,2.4479032747755496,2.4517418807175977
0.7358490566037736,2.4716981132075473,2.4597544105130003,2.4639997955498716
0.7421383647798743,2.4842767295597485,2.471399621950598,2.476234434476702
0.7484276729559749,2.49685534591195,2.4828279629645706,2.488442709833537
0.7547169811320755,2.509433962264151,2.494029548722891,2.5006214070290183
0.7610062893081762,2.5220125786163523,2.504995583884493,2.5127671736807224
0.7672955974842768,2.5345911949685536,2.5157183769469533,2.5248765089124556
0.7735849056603774,2.547169811320755,2.5261913415043162,2.536945752890554
0.779874213836478,2.559748427672956,2.536408985382205,2.5489710766986957
0.7861635220125787,2.5723270440251573,2.546366888778645,2.560948472672955
0.7924528301886793,2.5849056603773586,2.5560616726553476,2.572873745340055
0.7987421383647799,2.59748427672956,2.56549095869678,2.5847425031208697
0.8050314465408805,2.610062893081761,2.5746533221859993,2.5965501509768143
0.8113207547169812,2.6226415094339623,2.583548239140845,2.6082918841878633
0.8176100628930818,2.6352201257861636,2.5921760290164584,2.619962683457083
0.8238993710691824,2.647798742138365,2.600537794215778,2.631557311536461
0.8301886792452831,2.660377358490566,2.6086353575639127,2.6430703115629224
0.8364779874213837,2.6729559748427674,2.61647119880091,2.6544960072807795
0.8427672955974843,2.6855345911949686,2.6240483910354055,2.665828505308245
0.8490566037735849,2.69811320754717,2.6313705379838557,2.6770616995807903
0.8553459119496856,2.710691823899371,2.638441712700544,2.6881892780739056
0.8616352201257862,2.7232704402515724,2.645266398386018,2.6992047318729586
0.8679245283018868,2.7358490566037736,2.6518494317487287,2.7101013666188423
0.8742138364779874,2.748427672955975,2.658195949288786,2.7208723163165387
0.8805031446540881,2.761006289308176,2.6643113367753664,2.7315105594502
0.8867924528301887,2.7735849056603774,2.670201182101569,2.742008937304492
0.8930817610062893,2.7861635220125787,2.6758712316228563,2.752360174348432
0.89937106918239,2.79874213836478,2.68132735001789,2.7625569004967825
0.9056603773584906,2.811320754716981,2.686575483653268,2.7725916750253483
0.9119496855345912,2.8238993710691824,2.6916216273861124,2.782457011882426
0.9182389937106918,2.8364779874213837,2.696471794699795,2.792145406109018
0.9245283018867925,2.849056603773585,2.701131991037801,2.801649361057073
0.9308176100628931,2.861635220125786,2.705608190177793,2.810961416077622
0.9371069182389937,2.8742138364779874,2.709906313471613,2.820074174340278
0.9433962264150944,2.8867924528301887,2.714032211766235,2.8289803304422296
0.949685534591195,2.89937106918239,2.717991649814981,2.837672697468202
0.9559748427672956,2.911949685534591,2.721790292986478,2.846144233173355
0.9622641509433962,2.9245283018867925,2.7254336960804983,2.8543880649777797
0.9685534591194969,2.9371069182389937,2.7289272940641074,2.8623975134837827
0.9748427672955975,2.949685534591195,2.732276394547885,2.87016611425484
0.9811320754716981,2.9622641509433962,2.735486171829979,2.877687637627311
0.9874213836477987,2.9748427672955975,2.738561662344811,2.884956106361149
0.9937106918238994,2.9874213836477987,2.7415077613631005,2.8919658109740016
1.0,3.0,2.744329220800149,2.898711322642291
