"year","gdp","gdp_trillion","ma","dloggdp","dlogma","dloggdpL1","dlogmaL1"
1978,369245353260.872,0.369245353260872,NA,NA,NA,NA,NA
1979,397275966892.718,0.397275966892718,NA,7.31698328386123,NA,NA,NA
1980,428399142252.564,0.428399142252564,0.426537028151068,7.54241664521444,NA,7.31698328386123,NA
1981,450302166910.072,0.450302166910072,0.460081158421787,4.9863503083543,7.57037234668623,7.54241664521444,NA
1982,491096319836.96,0.49109631983696,0.503170195649388,8.67214398593639,8.95255687278329,4.9863503083543,7.57037234668623
1983,543778042482.387,0.543778042482387,0.560508365692918,10.1900874151557,10.7915693811421,8.67214398593639,8.95255687278329
1984,626609364483.701,0.626609364483701,0.628471656201443,14.1782169866872,11.4446761669939,10.1900874151557,10.7915693811421
1985,710797305027.178,0.710797305027178,0.703944012372905,12.6063981487654,11.3407895634271,14.1782169866872,11.4446761669939
1986,774307505788.049,0.774307505788049,0.785857265205681,8.55817841800359,11.007635439201,12.6063981487654,11.3407895634271
1987,864345705902.996,0.864345705902996,0.86407304989548,11.0003722360229,9.48821342120247,8.55817841800359,11.007635439201
1988,961347723725.301,0.961347723725301,0.93381708848103,10.636336747649,7.76232685860734,11.0003722360229,9.48821342120247
1989,1001785223303.97,1.00178522330397,1.00148850772642,4.1202731843196,6.99620976727999,10.636336747649,7.76232685860734
1990,1041271896195.66,1.04127189619566,1.07831964648584,3.8659311350326,7.39165456130166,4.1202731843196,6.99620976727999
1991,1138752669458.5,1.1387526694585,1.18098792922516,8.94905707527904,9.0947369744562,3.8659311350326,7.39165456130166
1992,1301589870245.13,1.30158987024513,1.32055985026982,13.3652980561845,11.1704459318805,8.94905707527904,9.0947369744562
1993,1482889338698.69,1.48288933869869,1.49036655710135,13.040594612681,12.0966325505634,13.3652980561845,11.1704459318805
1994,1676743149158.28,1.67674314915828,1.67397380901148,12.286086972474,11.617822501416,13.040594612681,12.0966325505634
1995,1861735071148.11,1.86173507114811,1.86155044846806,10.4655576653169,10.6209388746986,12.286086972474,11.617822501416
1996,2047465483836.55,2.04746548383655,2.0481578188719,9.50937920354029,9.55310492642667,10.4655576653169,10.6209388746986
1997,2237626840759.87,2.23762684075987,2.23291896250941,8.88131792759879,8.63689171350615,9.50937920354029,9.55310492642667
1998,2414864610327.86,2.41486461032786,2.4226187627461,7.62273653890659,8.1539407111098,8.88131792759879,8.63689171350615
1999,2601702759078.63,2.60170275907863,2.62261127720631,7.45229144501813,7.93214036654781,7.62273653890659,8.1539407111098
2000,2825096197799.54,2.82509619779954,2.8413891490141,8.23762783299138,8.01225774454402,7.45229144501813,7.93214036654781
2001,3059936242478.58,3.05993624247858,3.09229136655357,7.98516636188502,8.46192891153592,8.23762783299138,8.01225774454402
2002,3342778183071.46,3.34277818307146,3.38081045445685,8.84081726247601,8.92031015007646,7.98516636188502,8.46192891153592
2003,3681006926650.74,3.68100692665074,3.71673141458496,9.63840835451535,9.47291698733004,8.84081726247601,8.92031015007646
2004,4053944733453.66,4.05394473345366,4.11759340121719,9.65040792145295,10.2424236724428,9.63840835451535,9.47291698733004
2005,4518455387849.41,4.51845538784941,4.60245870571848,10.8479791749449,11.1321795168021,9.65040792145295,10.2424236724428
2006,5091154930758.42,5.09115493075842,5.15872683040694,11.9334499651458,11.4099148812056,10.8479791749449,11.1321795168021
2007,5811552614974.09,5.81155261497409,5.75547347694694,13.2343059915545,10.9461500310076,11.9334499651458,11.4099148812056
2008,6373544042638.01,6.37354404263801,6.38983699385076,9.23079128352065,10.455744742913,13.2343059915545,10.9461500310076
2009,6972829250985.1,6.9728292509851,7.04612445360366,8.98653812801342,9.77689842835048,9.23079128352065,10.455744742913
2010,7711689202853.29,7.71168920285329,7.7162124584345,10.071619526412,9.08458866756874,8.98653812801342,9.77689842835048
2011,8441318020902.42,8.44131802090242,8.41256303901377,9.04012039933662,8.64025589824919,10.071619526412,9.08458866756874
2012,9104482675356.36,9.10448267535636,9.12169873994958,7.56284338923052,8.09298636501197,9.04012039933662,8.64025589824919
2013,9812695262900.89,9.81269526290089,9.83078828521673,7.49100883925138,7.48630706395019,7.56284338923052,8.09298636501197
2014,10544908798424,10.544908798424,10.5533091302089,7.1966182780784,7.09203496458706,7.49100883925138,7.48630706395019
2015,11280814787468.9,11.2808147874689,11.3037079993743,6.74603112976477,6.86913410574626,7.1966182780784,7.09203496458706
2016,12045152668727.3,12.0451526687273,12.0865543039575,6.55588344568336,6.69628067678971,6.74603112976477,6.86913410574626
2017,12875216222853.4,12.8752162228534,12.8988940811315,6.66419295670977,6.50479573506608,6.55588344568336,6.69628067678971
2018,13745158275136.7,13.7451582751367,13.6706168694462,6.5382396240441,5.81071979524346,6.66419295670977,6.50479573506608
2019,14579283528148.4,14.5792835281484,14.4455243989328,5.89149479852509,5.51358609043042,6.5382396240441,5.81071979524346
2020,14920466234565.3,14.9204662345653,15.2312323550037,2.31322586103744,5.29634435129367,5.89149479852509,5.51358609043042
2021,16199162892908.6,16.1991628929086,15.98047733244,8.2225724373103,4.8019730590358,2.31322586103744,5.29634435129367
2022,16706875253648.5,16.7068752536485,16.8054637629627,3.08607589101371,5.03362470134547,8.2225724373103,4.8019730590358
2023,17611526369126.6,17.6115263691266,NA,5.27332684865023,NA,3.08607589101371,5.03362470134547
2024,18488114837769.3,18.4881148377693,NA,4.85744894062208,NA,5.27332684865023,NA
